panel,date,value
P000,2000-01,0.048139555726
P000,2000-02,0.175645530579
P000,2000-03,0.054499920505
P000,2000-04,0.003187472350
P000,2000-05,-0.005029074403
P000,2000-06,-0.137756779260
P000,2000-07,-0.223824059583
P000,2000-08,-0.357809492773
P000,2000-09,-0.175354269534
P000,2000-10,-0.060706025030
P000,2000-11,0.075981186887
P000,2000-12,-0.021842407023
P000,2001-01,0.061463182844
P000,2001-02,-0.042174105177
P000,2001-03,0.150001178299
P000,2001-04,0.072255495895
P000,2001-05,0.225908335664
P000,2001-06,0.148957081525
P000,2001-07,0.073085742587
P000,2001-08,0.194860700997
P000,2001-09,0.139371451795
P000,2001-10,-0.053559343800
P000,2001-11,-0.122421671991
P000,2001-12,-0.343723090264
P000,2002-01,-0.242973320047
P000,2002-02,-0.012812605086
P000,2002-03,0.240348660079
P000,2002-04,0.207869746882
P000,2002-05,0.250091859086
P000,2002-06,0.352187693049
P000,2002-07,0.289835539248
P000,2002-08,0.284771523126
P000,2002-09,0.434942571998
P000,2002-10,0.027795469954
P000,2002-11,-0.040675904212
P000,2002-12,-0.120413370279
P000,2003-01,-0.149940768837
P000,2003-02,0.007081094875
P000,2003-03,0.137117111597
P000,2003-04,0.041147800181
P000,2003-05,0.216707965084
P000,2003-06,0.013802844190
P000,2003-07,-0.249032631357
P000,2003-08,0.074426598520
P000,2003-09,0.272265073253
P000,2003-10,0.143535796865
P000,2003-11,-0.020610954891
P000,2003-12,-0.110040126013
P000,2004-01,0.102587553832
P000,2004-02,0.396431994328
P000,2004-03,0.417471328814
P000,2004-04,0.323465332301
P000,2004-05,0.273268222048
P000,2004-06,0.388835601922
P000,2004-07,0.377740355293
P000,2004-08,0.201083389284
P000,2004-09,0.268514875378
P000,2004-10,0.068120445002
P000,2004-11,0.059936264845
P000,2004-12,0.147498694180
P000,2005-01,0.307583658698
P000,2005-02,0.185356778852
P000,2005-03,0.326536033609
P000,2005-04,0.427856195748
P000,2005-05,0.168696173843
P000,2005-06,0.303985197619
P000,2005-07,0.193759522052
P000,2005-08,0.203434434420
P000,2005-09,0.126779937676
P000,2005-10,0.279250438715
P000,2005-11,0.401513029244
P000,2005-12,0.280979242483
P000,2006-01,0.378544449979
P000,2006-02,0.462385850633
P000,2006-03,0.320096214834
P000,2006-04,0.292223017432
P000,2006-05,0.381573637346
P000,2006-06,0.173440882945
P000,2006-07,0.468907483035
P000,2006-08,0.134903050502
P000,2006-09,0.242141951481
P000,2006-10,0.269062096438
P000,2006-11,0.439851510144
P000,2006-12,0.267528473636
P000,2007-01,0.124410928395
P000,2007-02,0.268857715952
P000,2007-03,0.199127588109
P000,2007-04,0.196781664159
P000,2007-05,0.242730330696
P000,2007-06,0.060629232570
P000,2007-07,-0.060661884123
P000,2007-08,-0.101378841837
P000,2007-09,0.085122903505
P000,2007-10,0.012520771771
P000,2007-11,0.227526433168
P000,2007-12,0.051349146097
P000,2008-01,0.135231880103
P000,2008-02,0.125064345748
P000,2008-03,0.371863637746
P000,2008-04,0.070035408597
P000,2008-05,0.000657887390
P000,2008-06,0.279805912460
P000,2008-07,0.009871905703
P000,2008-08,-0.137459952611
P000,2008-09,0.050845894049
P000,2008-10,-0.050954700839
P000,2008-11,-0.140153254853
P000,2008-12,-0.234891463956
P000,2009-01,-0.325503608167
P000,2009-02,-0.403523716483
P000,2009-03,-0.153408663524
P000,2009-04,0.176353105834
P000,2009-05,-0.095573674840
P000,2009-06,0.140767774540
P000,2009-07,0.045990780539
P000,2009-08,0.243738056707
P000,2009-09,0.129491557354
P000,2009-10,-0.055284397414
P000,2009-11,0.148293033874
P000,2009-12,0.253677323229
P000,2010-01,0.222553016020
P000,2010-02,0.141252618799
P000,2010-03,0.013673903636
P000,2010-04,-0.138179300687
P000,2010-05,-0.187165685452
P000,2010-06,-0.083998864535
P000,2010-07,-0.228111826739
P000,2010-08,-0.155701671248
P000,2010-09,-0.123503682034
P000,2010-10,0.158814987795
P000,2010-11,0.053423610009
P000,2010-12,0.293566710746
P000,2011-01,0.171168478770
P000,2011-02,0.455821275119
P000,2011-03,0.406116473948
P000,2011-04,0.259155069807
P000,2011-05,0.026287558954
P000,2011-06,-0.107235153159
P000,2011-07,0.231015521671
P000,2011-08,0.180335564299
P000,2011-09,0.099609263216
P000,2011-10,0.024953163270
P000,2011-11,-0.186494532661
P000,2011-12,-0.418809554230
P000,2012-01,-0.181274639817
P000,2012-02,-0.127778917132
P000,2012-03,-0.040425082077
P000,2012-04,0.104069200469
P000,2012-05,0.139471319412
P000,2012-06,0.349326056464
P000,2012-07,0.234893595903
P000,2012-08,0.398597295599
P000,2012-09,0.353311500997
P000,2012-10,0.434637039267
P000,2012-11,0.359494672377
P000,2012-12,0.219661458432
P000,2013-01,0.110514430386
P000,2013-02,-0.019202269212
P000,2013-03,0.214480114723
P000,2013-04,0.471841855504
P000,2013-05,0.472911192956
P000,2013-06,0.105954204790
P000,2013-07,0.008555808149
P000,2013-08,-0.102372474046
P000,2013-09,0.241413483769
P000,2013-10,0.340015501685
P000,2013-11,0.396961201267
P000,2013-12,0.156217295012
P000,2014-01,0.105898625568
P000,2014-02,-0.088538843972
P000,2014-03,-0.172459556981
P000,2014-04,0.147196356486
P000,2014-05,0.137842163792
P000,2014-06,0.165233631647
P000,2014-07,0.217596091322
P000,2014-08,0.197581306203
P000,2014-09,0.090845455511
P000,2014-10,0.252111998267
P000,2014-11,0.149836710086
P000,2014-12,0.152994246270
P000,2015-01,0.184562734605
P000,2015-02,0.341986747996
P000,2015-03,0.322663935228
P000,2015-04,0.295731115240
P000,2015-05,0.128999271903
P000,2015-06,0.432388009689
P000,2015-07,0.215162495208
P000,2015-08,-0.108529400675
P000,2015-09,0.040936119502
P000,2015-10,-0.064033365605
P000,2015-11,-0.096366951692
P000,2015-12,-0.030928080629
P000,2016-01,0.104857266119
P000,2016-02,0.234248941524
P000,2016-03,0.113180739461
P000,2016-04,0.163816194701
P000,2016-05,0.062126297877
