panel,amplitude,wavelength,phase
P000,0.755584262342,80.142466051614,5.793428616901
P001,1.153199469240,41.691956280845,4.165220693444
P002,0.630843563182,20.242917647753,0.335181964576
P003,1.669240286213,63.804539690224,5.885032787774
P004,0.846894012620,50.720901722878,4.136177583731
P005,1.248661515307,62.312865301299,4.687217419217
P006,1.417034196705,13.076091615823,2.950868809614
P007,1.497165076241,45.272563738383,5.826367669158
P008,1.401747496092,64.671582770183,3.814881739964
P009,0.857898129805,75.783006689608,2.680018785361
P010,1.397260692825,76.780566808667,1.094688509393
P011,1.681296602515,13.985927107571,3.825142314215
P012,1.484694035562,95.172362543918,4.300236023732
P013,0.656445294412,85.037480374866,5.978420691609
P014,1.922224971522,57.398528757090,0.107005416284
P015,1.881315770353,20.860366266171,4.402466190496
P016,1.872460732178,87.409490498923,1.886289911637
P017,1.792009512757,63.171860148130,1.640678684290
P018,0.743587274637,40.146148762036,3.345040052738
P019,1.128555456978,20.083463318498,5.235002364912
P020,0.991324283323,17.536622916513,0.512530580634
P021,1.997279983102,60.271705948119,0.580523928841
P022,1.045909429089,76.612861531234,1.212902460913
P023,1.377566276335,58.412468632852,0.591158555384
P024,1.943555380124,46.473264265375,1.632136701916
P025,0.937339399072,24.778391486295,3.301102450237
P026,1.526291271896,77.972503948725,3.573815301667
P027,1.534956430938,53.808861341915,4.677455834851
P028,0.856746821944,81.457579438627,3.273390326554
P029,1.535073754389,91.702669368337,5.079382509505
P030,0.826473746351,30.408641860781,5.082724661977
P031,0.826211899929,89.432318654122,2.936230720849
P032,1.993472697761,95.986614199476,4.878396455678
P033,1.216727176184,55.671792642522,6.198473973123
P034,1.492964676945,29.551372862211,5.373359864174
P035,1.543828114247,79.977751410414,0.379621686034
P036,1.678453035555,61.342979255531,0.142118041633
P037,1.486434760546,27.577719168045,4.209642783247
P038,1.911502191018,52.333083037447,1.141125300483
P039,0.738823989564,29.429697481991,2.922036455751
P040,1.965508581579,75.392916282214,5.583171343831
P041,0.735968425386,32.890066991250,3.279374402908
P042,0.824764048205,79.192830444631,0.768291230331
P043,1.964305990260,51.130071791187,4.269566289002
P044,1.659723354454,72.910147987225,0.867603242606
P045,1.389781474544,27.742212613917,4.956044571689
P046,1.113383933652,89.584841047306,2.109586902829
P047,1.170986749815,44.115033877253,2.723584728889
P048,0.846471829326,25.234962717021,4.231091265625
P049,0.896743252757,93.948214186327,2.033856255555
P050,0.617772915717,15.304179374166,5.515146522405
P051,1.224148226790,13.571019419692,0.157233473605
P052,0.628642990976,65.958446161807,3.288714217440
P053,0.993388623067,87.080488053848,1.772372246497
P054,1.010304346769,52.908055467707,3.595495537190
P055,1.344279663696,14.978857222237,1.399854347706
P056,1.952924925934,66.809064451006,0.296997583680
P057,1.019177184558,92.025121958604,3.557690662294
P058,1.337192899856,81.740102668352,1.567139112968
P059,0.988750813503,93.406816940521,0.460183444083
P060,0.736021807448,72.626964720558,2.715398418719
P061,1.149575373607,16.564400424741,0.408424434197
P062,0.772909344774,73.499133861651,2.089469605298
P063,0.732522478038,78.305334314515,5.201076698315
P064,1.504532792202,51.292969753475,1.439459245564
P065,1.167713494909,29.945907685550,6.148232832667
P066,0.987472768641,73.024933364373,0.401638582649
P067,1.219727764161,49.138182136842,1.312067795809
P068,0.580113525955,17.607672620044,3.676341373577
P069,1.510450521544,34.805934509968,4.497210667696
P070,1.035275731007,54.282412732193,4.338050644857
P071,1.128195011452,53.211646342760,0.887562225516
P072,1.463913301629,88.388390479907,0.848547378794
P073,1.284263854351,57.017511549830,3.111479570995
P074,1.889869551506,41.196655289063,4.888982038927
P075,0.595957865283,69.293634936486,0.053707104539
P076,1.208390395779,83.092421659111,1.772421783926
P077,1.391051447053,44.778641759645,4.192508579077
P078,0.820440807574,42.451088707699,2.823901599545
P079,0.796521586396,27.849102130981,2.170517349886
P080,1.567322042154,68.335342567831,6.005274034047
P081,1.967434989425,41.980784591866,0.658040827879
P082,1.888218783480,54.667576789023,5.993062907624
P083,1.312415661903,31.374985416555,2.148355707856
P084,1.358516024469,50.317586250210,3.771454349739
P085,1.737851137259,66.089874440731,5.513862493519
P086,0.544772440838,66.662255516644,2.600293515372
P087,0.672099477378,60.848828754488,3.166773788931
P088,1.118428082706,60.315366241124,4.834086142165
P089,1.706933205009,62.610528619447,1.294366190489
P090,0.792222631962,15.039798750975,4.158575749234
P091,1.905137662041,40.946829720049,5.788025147358
P092,0.903889738262,61.449800301606,2.761508041488
P093,1.172980831417,44.165750880892,1.422395794782
P094,0.543856316522,14.885748910467,2.801600045754
P095,0.798425431227,46.791714495401,5.576081171168
P096,1.074425894019,58.056769823972,2.829566766432
P097,0.676179927086,25.525832456951,4.905564911367
P098,1.370807168130,14.644016467377,5.195111365764
P099,0.596069160532,69.187156577747,3.263534785336
